NOMBRE|CARGO|OPCION O SIGLA|CODIGO GEOGRAFIA|CANDIDATO O GANADORLUIS ALBERTO ARCE CATACORA|PRESIDENTE|undefined|undefined|ELECTO
WALTER VILLAGRA ROMAY|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
GUSTAVO ADOLFO ALIAGA PALMA|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
GABRIELA VERONICA FERREL PARRADO|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
MARIA ELENA PACHACUTE TICONA|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
CARLOS SILVESTRE ALARCON MONDONIO|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
CECILIA ISABEL REQUENA ZARATE|SENADORES (AS)|undefined|undefined|ELECTO
ALEJANDRA CAMARGO TANABE|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
JOSE MALDONADO GEMIO|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
SAMANTHA ANDREA KERSIM NOGALES ARISPE|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
SAUL OCTAVIO LARA TORRICO|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
TORIBIA LERO QUISPE|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
ANDREA BRUNA BARRIENTOS SAHONERO|SENADORES (AS)|undefined|undefined|ELECTO
ENRIQUE FERNANDO URQUIDI DAZA|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
MARIEL CAROLA PEÑALOZA LEMA|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
RONALD HUANCA LOPEZ|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
MARIA VANIA ROCHA MUÑOZ|SENADORES (AS)|undefined|undefined|ELECTO
MARIA ELENA  ORTEGA|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
NELY VERONICA GALLO SORUCO|SENADORES (AS)|undefined|undefined|ELECTO
RODRIGO PAZ PEREIRA|SENADORES (AS)|undefined|undefined|ELECTO
JOSE LUIS PORCEL MARQUINA|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
ALDO RAUL TERRAZAS RIVERO|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
SENAIDA ROJAS BANEGAS|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
DANIEL PRIETO TOMELITCH|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
LAURA LUISA NAYAR SOSA|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
OSCAR ALBERTO BALDERAS MONTAÑO|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
JANIRA ROMAN MATIJASEVIC|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
WALTER JESUS JUSTINIANO MARTINEZ|SENADORES (AS)|undefined|undefined|ELECTO
CECILIA MOYOVIRI MOYE|SENADORES (AS)|undefined|undefined|ELECTO
SEBASTIAN DIVICO MUCHAIRO|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
CORINA FERREIRA DOMINGUEZ|SENADORES (AS)|undefined|undefined|ELECTO
JUAN PARDO GUEVARA|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
MARINA MORALES CARDENAS|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
JOSE GUILLERMO BENAVIDES RAMOS|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
DALY CRISTINA SANTA MARIA AGUIRRE|SENADORES (AS)|undefined|undefined|ELECTO
SANDRA PAZ MENDEZ|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
TITO CAERO VARGAS|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
MARIA KHALINE MORENO CARDENAS|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
ERWIN BAZAN GUTIERREZ|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
MARIOLY A DAISY MORON OSINAGA|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
HENRY OMAR MONTERO MENDOZA|SENADORES (AS)|undefined|undefined|ELECTO
